Specification_Type,Value,Unit,Context
temperature,110,K,"dar Weeks Cost: Personnel: 1,100 Engineering Hrs/$110K Equipment: Access to UA MSE Labs CII NIKET TASK 5"
temperature,8,c,"eering and design requirements Page 13 Duration:  8 calendar weeks Cost: Personnel: 1,300 Engineering H"
temperature,130,K,"dar weeks Cost: Personnel: 1,300 Engineering Hrs/$130K CII NIKET TASK 6: Description: TRL 8 final device"
temperature,8,c,"and manufacturing processes locked down Duration: 8 calendar weeks Cost: Personnel:  1,300 Engineering"
temperature,130,K,"ar weeks Cost: Personnel:  1,300 Engineering Hrs/$130K TOTALS FOR EACH USE CASE DESIGN OPTIMIZATION NRE"
temperature,54,c,DESIGN OPTIMIZATION NRE TRL 1-9 Schedule: Maximum 54 calendar weeks (can be accelerated per budget/staff
temperature,770,K,"ability) Staff: Cost:  7,700 Engineering Hrs/ = $ 770K Page 14"
temperature,22,c,"mizer Q-SMEC utilizes varying quantities of up to 22 constituent elements (including Germanium, Gallium,"
temperature,5,C,"Sputter: 200–600 W, 1–10 mTorr Ar/N₂, rate 0.5 -- 5 CVD: 300–800 °C, precursor-specific; target stoichi"
temperature,800,C,"0–600 W, 1–10 mTorr Ar/N₂, rate 0.5 -- 5 CVD: 300–800 °C, precursor-specific; target stoichiometry error \"
temperature,100,K,"ensor Physics Quantum Modeling (NTE 8 weeks, NTE $100K, TRL/MRL 3) Task 2: Optimized AI Design of Experi"
temperature,110,K,"esign of Experiments (Modeling (NTE 8 weeks, NTE $110K TRL/MRL 4). Task 3: Sensor Prototype Fabrication"
temperature,190,K,"Sensor Prototype Fabrication (NTE 12 weeks, NTE $190K, TRL/MRL 5/6). Task 4: Beta Testing  (NTE 10 week"
temperature,110,K,"L 5/6). Task 4: Beta Testing  (NTE 10 weeks, NTE $110K, TRL/MRL 7. Task 5: Low Rate Initial Production ("
temperature,130,K,"5: Low Rate Initial Production (NTE 8 weeks, NTE $130K, TRL/MRL 8). Task 6: Device Integration/Full Rate"
temperature,130,K,"tegration/Full Rate Production (NTE 8 weeks, NTE $130K, TRL/MRL 9).
Deliverables include patent-ready da"
temperature,100,k,ics Parameter Optimization Values Targets: Power: 100kW-MW+ feasible Beam Quality M2: 1.1     M2: 1 to 1
temperature,10,K,"micron, 3-5 micron, 8-14 micron Operating Range: 10 Km+ Bandwidth: 100 Nm Resolution:  5-10 Micron Pico"
temperature,0.1,C,tching: Complex Permittivity: Imaginary Component 0.1 Complex Permeability: Imaginary Component 0.1 High
temperature,60,k,ics Parameter Optimization Values Targets: Power: 60 kW-1MW EIRP: 30-70 dBmi Scan Ratio: <20 sec/volume
temperature,500,k,"2.3-2.5 Ghz (S), 9.4-9.6 Ghz (X) Operating Range: 500 km + (S), 70 km+ (X) Bandwidth: 250-1000 MHz Respon"
temperature,70,k,"), 9.4-9.6 Ghz (X) Operating Range: 500 km + (S), 70 km+ (X) Bandwidth: 250-1000 MHz Response Time: Less"
temperature,4,c,achieve break-even within one year with two Task 4 conversions. Risk Register CII NIKET North America
temperature,1812,c,or EO variants. Membrane Coupons: 25 mm discs and 1812 cartridge format; stack 1–20 layers; epoxy-free edg
percentage,15,,"awareness.
 Market: $60B+ aggregate, high CAGR 6–15%. Telecom & IT
 5G/6G base stations, data center p"
percentage,42,,"Market: $30B+ annually, strong growth in Lidar (42% CAGR). Energy & Utilities
 Smart grid, microgrids"
percentage,15,,"atrol SMEC Addressable Market: $ 7.3B/Year, CAGR: 15% NPV 1MP License Value: $ 3.3B Page 4 CII NIKET PR"
percentage,7,,"AHRS) SMEC Addressable Market: $18.7B/Year, CAGR: 7% NPV 1 MP License Value: $3.4B Weapon Systems & Ta"
percentage,6,,"Seekers SMEC Addressable Market: $ 9B/year, CAGR: 6% NPV 1MP License Value: $1.5B Electronic Warfare ("
percentage,7,,"(EW) SMEC Addressable Market: $16.6B/Year, CAGR: 7% NPV 1 MP License Value: $ 3B Platform Control & M"
percentage,5,,"g (SHM) SMEC Addressable Market: $11B/Year, CAGR: 5% NPV 1 MP License Value: $ 1.6B BY SENSOR TYPE Ele"
percentage,5,,"al Imaging SMEC Addressable Market: $13.8B, CAGR: 5% NPV 1 MP License Value: $2B Page 5 CII NIKET PROP"
percentage,5,,"r Lidar SMEC Addressable Market: $12B/Year, CAGR: 5% NPV 1MP License Value: $1.7B Inertial Sensors Gyr"
percentage,5,,"nations SMEC Addressable Market: $12B/Year, CAGR: 5% NPV 1MP License Value: $1.7B Pressure Sensors Abs"
percentage,8.2,,"rential SMEC Addressable Market: $2.9B/Year, CAGR:8.2% NPV 1MP License Value: $600M Acoustic & Sonar Sen"
percentage,5,,"ensors SMEC Addressable Market: $1.8B/Year, CAGR: 5% NPV 1 MP License Value: $260M Chemical & Biologic"
percentage,5,,"sors SMEC Addressable Market: $ 2.1B/Year, CAGR:  5% NPV 1 MP License Value: $300M Page 6 CII NIKET PR"
percentage,5,,"ensors SMEC Addressable Market: $1.2B/Year, CAGR: 5% NPV 1 MP License Value: $172M MEMS (Micro-Electro"
percentage,12,,"phones SMEC Addressable Market: $16.3B/Year, CAGR:12% NPV 1 MP License Value: $ 5.1B BY PLATFORM Space/"
percentage,5,,"ockets) SMEC Addressable Market: $12B/Year, CAGR: 5% NPV 1 MP License Value: $ 1.7B Land Platforms Mil"
percentage,24,,"stems SMEC Addressable Market: $13.1B/Year, CAGR: 24% NPV 1 MP License Value: $ 17.3B Naval Platforms S"
percentage,6.1,,"RIETARY SMEC Addressable Market: 45.2B/Year, CAGR:6.1% NPV 1MP MP License Value: 7.3B BY TECHNOLOGY READ"
percentage,6,,"ting) SMEC Addressable Market: $20.8B/Year, CAGR: 6% NPV 1 MP License Value: $ 3.3B Emerging/Future Qu"
percentage,7,,"nsors SMEC Addressable Market: $ 575M/Year, CAGR: 7% NPV License Value: $ 102M Civilian Aviation Dual"
percentage,6.9,,"llites SMEC Addressable Market: $3.7B/Year, CAGR: 6.9% NPV License Value: $ 650M SMEC Use Cases in Missi"
percentage,13,,"nsors: SMEC Addressable Market: $ 1.2B/Year, CAGR 13% NPV 1MP License Value: $ 422M Page 9 CII NIKET PR"
percentage,8,,"sors: SMEC Addressable Market: $ 1.4B/Year, CAGR, 8% NPV 1MP License Value: $ 279M Acoustic DAS Sensor"
percentage,8,,"sors: SMEC Addressable Market: $ 1.5B/Year, CAGR: 8% NPV 1MP License Value: $ 299M Differential Pressu"
percentage,8,,"nsors: SMEC Addressable Market: $1.9B/Year, CAGR: 8% NPV 1MP License Value: 378M Liquid Leak Detection"
percentage,13,,"sors: SMEC Addressable Market: $ 600M/Year, CAGR: 13% NPV 1MP License Value: $ v211M Rack Power Usage E"
percentage,8,,"sors: SMEC Addressable Market: $ 4.8B/Year, CAGR: 8% NPV 1MP License Value: 960M IR Motion Sensors: SM"
percentage,8,,"ensors: SMEC Addressable Market: $ 2B/Year, CAGR: 8% NPV 1MP License Value: $399M 5G/6G CDMA TELECOMMU"
percentage,11,,"TIONS SMEC Addressable Market: $ 6.2B/Year, CAGR: 11% NPV 1 MP License Value: $ 1.7B Page 10 CII NIKET"
percentage,5,,"NSORS: SMEC Addressable Market: $ 31B/Year, CAGR: 5% NPV 1 MP License Value: $ 4.3B AGGREGATE NORTH AM"
percentage,8.2,,"NSORS: SMEC Addressable Market: $ 7.1B/Year, CAGR:8.2% NPV 1MP License Value: $ 1.4B BY CARMAKER (US/EU)"
percentage,8.2,,"FORD: SMEC Addressable Market: $525M/Year, CAGR: 8.2% NPV 1MP License Value: $ 107M GENERAL MOTORS: SME"
percentage,8.2,,"TORS: SMEC Addressable Market: $ 312M/Year, CAGR: 8.2% NPV 1MP License Value: $64M STELLANTIS: SMEC Addr"
percentage,8,,"ANTIS: SMEC Addressable Market: $500M/Year, CAGR: 8% NPV 1MP License Value: $ 99M Page 11 CII NIKET PR"
percentage,8.3,,"ESLA: SMEC Addressable Market: $ 500M/Year, CAGR: 8.3% NPV 1MP License Value: $103M HYUNDAI: SMEC Addres"
percentage,8.2,,"NDAI: SMEC Addressable Market: $ 200M/Year, CAGR: 8.2% NPV 1MP License Value: $41M HONDA: SMEC Addressab"
percentage,8.2,,"ONDA: SMEC Addressable Market: $ 400M/Year, CAGR: 8.2% NPV 1 MP License Value: $ 81M VOLKSWAGEN GROUP: S"
percentage,8.2,,"ROUP: SMEC Addressable Market: $ 280M/Year, CAGR: 8.2% NPV 1MP License Value: $ 57M BMW GROUP: SMEC Addr"
percentage,8,,"ROUP: SMEC Addressable Market: $ 380M/Year, CAGR: 8% NPV 1MP License Value: $ 75M Page 12 CII NIKET PR"
percentage,8.3,,"UP: SMEC Addressable Market: $ $ 390M/Year, CAGR: 8.3% NPV 1Mp License Value: $ 80M TOYOTA GROUP: SMEC A"
percentage,8.3,,"ROUP: SMEC Addressable Market: $ 460M/Year, CAGR: 8.3% NPV 1MP License Value: $ 95M RENAULT/NISSAN:/MITS"
percentage,8.2,,"ISHI: SMEC Addressable Market: $ 240M/Year, CAGR; 8.2% NPV 1Mp License Value: $ 49M BY SENSOR TYPES: Opt"
percentage,8.6,,"nsors: SMEC Addressable Market: $4.2B/Year, CAGR: 8.6%, NPV 1MP License Value: $ 891M External Temperatu"
percentage,6,,"sors: SMEC Addressable Market: $ 2.3B/Year, CAGR: 6% NPV 1MP License Value: $368M Page 13 CII NIKET PR"
percentage,15,,"sors: SMEC Addressable Market: $ 7.3B/Year, CAGR: 15% NPV 1MP License Value: $ 3.25B IR Camera Sensors:"
percentage,15,,"sors: SMEC Addressable Market: $ 8.8B/Year, CAGR: 15% NPV 1MP License Value: $ 3.9B LIDAR/Radar Sensors"
percentage,42,,"nsors: SMEC Addressable Market: $1.2B/Year, CAGR: 42% NPV 1MP License Value: $ 13.8B Ultrasonic Sensors"
percentage,9.2,,"sors: SMEC Addressable Market: $ 530M/Year, CAGR: 9.2% NPV 1MP License Value: $121M GPS/GNSS Navigation/"
percentage,8.3,,"nsors: SMEC Addressable Market: $ 16B/Year, CAGR: 8.3% NPV 1MP License Value: $ 3.3B Page 14 CII NIKET P"
percentage,8.2,,"HIPS: SMEC Addressable Market: $35.8B/Year, CAGR: 8.2% NPV 1 MP License Value: $ 7.3B RAIL TRANSPORT SME"
percentage,6,,"NSPORT SMEC Addressable Market: $4.3B/Year, CAGR: 6% NPV 1 MP License Value: $ 690M DEPARTMENT OF ENER"
percentage,11.8,,"er): SMEC Addressable Market: $ 21.4B/Year, CAGR: 11.8% NPV 1MP License Value: $ 6.6B Fault Detection Sen"
percentage,8,,"nsors: SMEC Addressable Market: $ 22B/Year, CAGR: 8% NPV 1MP License Value: $ 4.4B Grid Asset Monitori"
percentage,19,,"sors: SMEC Addressable Market: $ 3.6B/Year, CAGR: 19% NPV 1MP License Value: $2.6B Page 15 CII NIKET PR"
percentage,5.4,,"sors: SMEC Addressable Market: $ 5.8B/Year, CAGR: 5.4% NPV 1MP License Value: $ 870M Distributed Energy"
percentage,13,,"rs: SMEC Addressable Market: $ $ 800M/Year, CAGR: 13% NPV 1MP License Value: $ 282M Solar Cell Optimiza"
percentage,17,,"zation SMEC Addressable Market: $ 95B/Year, CAGR: 17% NPV 1MP License Value: $ 54B Advanced Battery Sto"
percentage,21,,target energy storage density improvement between 21% and 37% and energy retrieval time improvement of
percentage,37,,nergy storage density improvement between 21% and 37% and energy retrieval time improvement of up to 46
percentage,46,,7% and energy retrieval time improvement of up to 46%. It is anticipated that the SMEC design will oper
percentage,9,,"lipsoid SMEC Addressable Market: $25B/Year, CAGR: 9% NPV 1 MP License Value: $5.6B Small Modular Nucle"
percentage,8,,"eactors SMEC Addressable Market: $10B/Year, CAGR: 8% NPV 1MP License Value: $ 2B Page 16 CII NIKET PRO"
percentage,14.3,,"oring SMEC Addressable Market: $ 8.7B/Year, CAGR: 14.3% NPV 1 MP License Value: $ 3.6B Facilities Energy"
percentage,11.6,,"sors: SMEC Addressable Market: $ 3.7B/Year, CAGR: 11.6% NPV 1MP License Value: HVAC Controls Sensors: SME"
percentage,6,,"sors: SMEC Addressable Market: $  4.2B/Year, CAGR 6% NPV 1MP License Value: CISA/CRITICAL MANUFACTURIN"
percentage,8.7,,"ncing. SMEC Addressable Market: $1.5B/Year, CAGR: 8.7% NPV 1 MP License Value: $ 742M Page 17 CII NIKET"
percentage,6,,"tion: SMEC Addressable Market: $25.5B/Year, CAGR: 6% NPV 1 MP License Value: $4.1B Quality Control SME"
percentage,6,,"ntrol SMEC Addressable Market: $10.5B/Year, CAGR: 6% NPV 1MP License Value: $ 1.7B CISA/WATER AND WAST"
percentage,6,,"nsors: SMEC Addressable Market: $1.2B/Year, CAGR: 6% NPV MP License Value: $442M Desalination Material"
percentage,15,,"d layered oxygenated graphene material (typically 15% graphene, 80% oxidized domains), producible in mo"
percentage,80,,"enated graphene material (typically 15% graphene, 80% oxidized domains), producible in monolayer and st"
percentage,99.9,,"le in polyamide membrane materials) and providing 99.9% salt rejection, in all 6 major salt rejection mec"
percentage,6.3,,"sors: SMEC Addressable Market: $ 1.5B/Year, CAGR: 6.3% NPV 1MP License Value: Page 18 CII NIKET PROPRIET"
percentage,8,,"nsors SMEC Addressable Market: $ 1.1B/Year, CAGR: 8% NPV 1MP License Value: Turbidity Sensors: SMEC Ad"
percentage,7.2,,"sors: SMEC Addressable Market: $ 1.4B/Year, CAGR: 7.2% NPV 1MP License Value Dissolved Oxygen Sensors: S"
percentage,7,,"sors: SMEC Addressable Market: $ 1.4B/Year, CAGR: 7% NPV 1MP License Value: Predictive Maintenance/Lea"
percentage,6,,"sors: SMEC Addressable Market: $ 560M/Year, CAGR: 6% NPV 1MP License Value: Acoustic Sensors: SMEC Add"
percentage,6.4,,"sors: SMEC Addressable Market: $ 1.5B/Year, CAGR: 6.4% NPV 1MP License Value: Page 19 CII NIKET PROPRIET"
percentage,6.3,,"sors: SMEC Addressable Market: $ 2.5B/Year, CAGR: 6.3% NPV 1MP License Value: DEPRTMENT OF HEALTH AND HU"
percentage,6,,"A-QPCR SMEC Addressable Market: $2.1B/Year, CAGR: 6% NPV 1 MP License Value: $773M Medical Devices/Pat"
percentage,15,,"sors: SMEC Addressable Market: $ 9.2B/Year, CAGR: 15% NPV 1 MP License Value: $ 4.1B Diabetes Continuou"
percentage,19,,"ors: SMEC Addressable Market: $ 13.7B/Year, CAGR: 19% NPV 1 MP License Value: $ 9.9B ECG/EEG Electroche"
percentage,13,,"sors: SMEC Addressable Market: $ 1.5B/Year, CAGR: 13% NPV 1MP License Value: $ 530M Page 20 CII NIKET P"
percentage,13.5,,"leep) SMEC Addressable Market: $ 3.9B/Year, CAGR: 13.5% NPV 1MP License Value: $ 1.5B Rehabilitation Care"
percentage,9.5,,"sors: SMEC Addressable Market: $ 1.2B/Year, CAGR: 9.5% NPV 1MP License Value: $ 282 M Robotic Surgical T"
percentage,6,,"quipment SMEC Addressable Market: $8B/Year, CAGR: 6% NPV 1 MP License Value: $ 1.3B Blood Management S"
percentage,11.8,,"toring SMEC Addressable Market: $2.9B/Year, CAGR: 11.8% NPV 1 MP License Value: $890M Carbon Sequestratio"
percentage,8,,"SMEC Addressable Market Value: $3.5B/Year, CAGR: 8% NPV 1 MP License Value: $ 670M Page 21 CII NIKET"
percentage,8.75,,"sors: SMEC Addressable Market: $ 8.5B/Year, CAGR: 8.75% NPV 1MP License Value: Humidity Sensors: SMEC Add"
percentage,11,,"ensors: SMEC Addressable Market: $ 7B/Year, CAGR: 11% NPV 1MP License Value: pH Sensors: SMEC Addressab"
percentage,5,,"sors: SMEC Addressable Market: $ 1.7B/Year, CAGR: 5% NPV 1MP License Value: Gas Sensors: SMEC Addressa"
percentage,5,,"sors: SMEC Addressable Market: $ 1.6B/Year, CAGR: 5% NPV 1MP License Value: Optical Sensors: SMEC Addr"
percentage,6,,"sors: SMEC Addressable Market: $ 4.6B/Year, CAGR: 6% NPV 1MP License Value: Pressure Sensors: SMEC Add"
percentage,4.3,,"sors: SMEC Addressable Market: $ 2.9B/Year, CAGR: 4.3% NPV 1MP License Value: Flow Sensors: SMEC Address"
percentage,4.6,,"sors: SMEC Addressable Market: $ 2.8B/Year, CAGR: 4.6% NPV 1MP License Value: Proximity Sensors: SMEC Ad"
percentage,7.9,,"sors: SMEC Addressable Market: $ 3.2B/Year, CAGR: 7.9% NPV 1MP License Value: Page 22 CII NIKET PROPRIET"
percentage,10,,"sors: SMEC Addressable Market: $ 4.5B/Year, CAGR: 10% NPV 1MP License Value: CISA/DEPARTMENT OF ENERGY/"
percentage,7,,"sors: SMEC Addressable Market: $ 731M/Year, CAGR: 7% NPV 1MP License Value: Pressure Sensors: SMEC Add"
percentage,4,,"sors: SMEC Addressable Market: $ 3.5B/Year, CAGR: 4% Pipeline Inspection Flow Sensors: SMEC Addressabl"
percentage,5.7,,"sors: SMEC Addressable Market: $ 9.1B/Year, CAGR: 5.7% NPV 1 MP License Value: Gas Vapor Sensors: SMEC A"
percentage,8.6,,"sors: SMEC Addressable Market: $ 1.6B/Year, CAGR: 8.6% NPV 1MP License Value: Safety/Wearable Vests/Head"
percentage,10.3,,"sors: SMEC Addressable Market: $ 718M/Year, CAGR: 10.3% NPV 1MP License Value: Page 23 CII NIKET PROPRIET"
percentage,6.7,,"ors: SMEC Addressable Market: $ 1.25B/Year, CAGR: 6.7% NPV 1MP License Value: Wellhead Optimization Flui"
percentage,7.1,,"sors: SMEC Addressable Market: $ 4.6B/Year, CAGR: 7.1% NPV 1 MP License Value: Emissions Management Air"
percentage,5.5,,"nsors SMEC Addressable Market: $ 160M/Year, CAGR: 5.5% NPV 1MP License Value: Air Methane Sensors: SMEC"
percentage,10.4,,"ensors: SMEC Addressable Market: $ 500M/Year, CAGR10.4% NPV 1MP License Value: CISA GSA/GOVERNMENT & COMM"
percentage,7,,"sors: SMEC Addressable Market: $ 300M/Year, CAGR: 7% NPV 1MP License Value: Acceleration Sensors: SMEC"
percentage,6,,"sors: SMEC Addressable Market: $ 1.7B/Year, CAGR: 6% NPV 1MP License Value: Temperature Sensors: SMEC"
percentage,6.9,,"sors: SMEC Addressable Market: $ 3.1B/Year, CAGR: 6.9% NPV 1MP License Value: Page 24 CII NIKET PROPRIET"
percentage,10.2,,"sors: SMEC Addressable Market: $ 1.4B/Year, CAGR: 10.2% NPV 1MP License Value Geotechnical Piezo Sensors:"
percentage,6,,"sors: SMEC Addressable Market: $ 2.5B/Year, CAGR: 6% NPV 1MP License Value: Extensometer Sensors: SMEC"
percentage,6.1,,"sors: SMEC Addressable Market: $ 382M/Year, CAGR: 6.1% NPV 1MP License Value: Concrete Health Strength/S"
percentage,5.5,,"ors: SMEC Addressable Market: $ 3.78B/Year, CAGR: 5.5% NPV 1MP License Value: Site Monitoring GPS Sensor"
percentage,8.8,,"nsors SMEC Addressable Market: $ 3.6B/Year, CAGR: 8.8% NPV 1MP License Value: Asset Tracking Sensors: SM"
percentage,16.2,,"nsors: SMEC Addressable Market: $ 11B/Year, CAGR: 16.2% NPV 1MP License Value: AWS Weather/Noise Sensors:"
percentage,8,,"sors: SMEC Addressable Market: $ 4.3B/Year, CAGR: 8% Page 25 CII NIKET PROPRIETARY CII NIKET PROPRIETA"
percentage,6.5,,"Sensors SMEC Addressable Market: $1.3B/Year, CAGR 6.5% NPV 1MP License Value: Fiber Optic Sensors: SMEC"
percentage,8,,"sors: SMEC Addressable Market: $ 250M/Year, CAGR: 8% NPV 1MP License Value: Neutron Flux Mapping: Gamm"
percentage,8,,"nsors SMEC Addressable Market: $ 4.5B/Year, CAGR: 8% NPV 1MP License Value: Pump/Turbine Predictive Ma"
percentage,9.8,,"ensors SMEC Addressable Market: $530M/Year, CAGR: 9.8% NPV 1MP License Value: Fuel Cycle Leak Detection"
percentage,3.6,,"sors: SMEC Addressable Market: $ 220M/Year, CAGR: 3.6% NPV 1MP License Value: Flow Sensors: SMEC Address"
percentage,8.7,,"sors: SMEC Addressable Market: $ 636M/Year, CAGR: 8.7% NPV 1MP License Value: Spent Fuel Monitoring Temp"
percentage,7,,"sors: SMEC Addressable Market: $ 1.2B/Year, CAGR: 7% NPV 1MP License Value: Page 26 CII NIKET PROPRIET"
percentage,7,,"sors: SMEC Addressable Market: $ 480M/Year, CAGR: 7% NPV 1MP License Value: Radiation Detector Sensors"
percentage,7.5,,"sors: SMEC Addressable Market: $ 1.5B/Year, CAGR: 7.5% CISA/EMERGENSY MANAGEMENT SERVICES Early Warming/"
percentage,7.9,,"sors: SMEC Addressable Market: $ 1.8B/Year, CAGR: 7.9% NPV 1MP License Value: Fire Flow Sensors: SMEC Ad"
percentage,7,,"sors: SMEC Addressable Market: $ 1.1B/Year, CAGR: 7% NPV 1MP License Value: Soil Moisture Sensors: SME"
percentage,7,,"sors: SMEC Addressable Market: $ 300M/Year, CAGR: 7% NPV 1MP License Value: First Responder Wearables"
percentage,9,,"sors: SMEC Addressable Market: $ 1.2B/Year, CAGR: 9% NPV 1MP License Value: GPS/Location Sensors: SMEC"
percentage,9.2,,"sors: SMEC Addressable Market: $ 1.7B/Year, CAGR: 9.2% NPV 1MP License Value: Page 27 CII NIKET PROPRIET"
percentage,8,,"sors: SMEC Addressable Market: $ 5.6B/Year, CAGR: 8% NPV 1MP License Value: Particulate Sensors: SMEC"
percentage,8,,"SMEC Addressable Market: $ 2 Billion/Year, CAGR: 8% NPV 1MP License Value: Drone Multispectral Monito"
percentage,11,,"sors: SMEC Addressable Market: $ 850M/Year, CAGR: 11% NPV 1MP License Value: High Resolution Camera Sen"
percentage,10,,"sors: SMEC Addressable Market: $ 1.9B/Year, CAGR: 10% NPV 1MP License Value: Chemical Sensors: SMEC Add"
percentage,10,,"sors: SMEC Addressable Market: $ 1.8B/Year, CAGR: 10% NPV 1MP License Value: Automated Vehicle Accident"
percentage,12,,"sors: SMEC Addressable Market: $ 1.2B/Year, CAGR: 12% NPV 1MP License Value: GPS telematics Sensors: SM"
percentage,12.8,,"sors: SMEC Addressable Market: $ 2.1B/Year, CAGR: 12.8% NPV 1MP License Value: Page 28 CII NIKET PROPRIET"
percentage,15.3,,"sors: SMEC Addressable Market: $ 6.8B/Year, CAGR: 15.3% NPV 1MP License Value: Fraud Detection Geofencing"
percentage,15.3,,"sors: SMEC Addressable Market: $ 2.7B/Year, CAGR: 15.3% NPV 1MP License Value: Smart Asset/Usage Based In"
percentage,19.5,,"sors: SMEC Addressable Market: $ 3.2B/Year, CAGR: 19.5% E.  CII NIKET NON-RECURRING ENGINEERING (NRE) STA"
percentage,1.5,,"aselines: Global data-center electricity use is 1–1.5% of world electricity (≈240–415 TWh, 2022–2024). C"
percentage,30,,"≈240–415 TWh, 2022–2024). Cooling’s share spans 7–30% depending on efficiency. U.S. demand could reach"
percentage,12,,"ending on efficiency. U.S. demand could reach 6.7–12% by 2028.
Inventor claims (unverified): 10–100× im"
percentage,15,,"al Use Case Layer Defense / Intel ISR ($7.3B TAM, 15% CAGR). Navigation (IMU, GNSS, AHRS). EW ($16.6B T"
percentage,42,,"otive sensors ($31B TAM). LIDAR/Radar ($1.2B TAM, 42% CAGR). Aviation (ISR, GNSS). Maritime monitoring"
percentage,42,,tor TAMs range from $500M to $95B. CAGR ranges: 5–42%. Licensing NPV valuations for each use case provi
percentage,15,,"llance, Reconnaissance): Market ~$7.3 B/year with 15 % CAGR; NPV for a 1M‑patent license is $3.3 B. Navi"
percentage,7,,HRS applications yield a $18.7 B/year market with 7 % CAGR and $3.4 B NPV. Weapon systems/targeting: Ta
percentage,6,,"nd missile seekers constitute a $9 B/year market, 6 % CAGR. Electronic warfare: $16.6 B/year, 7 % CAGR."
percentage,7,,"rket, 6 % CAGR. Electronic warfare: $16.6 B/year, 7 % CAGR. Platform control & monitoring (flight contr"
percentage,5,,"on and structural‑health monitoring): $11 B/year, 5 % CAGR. Sensor‑type breakdown: EO/IR sensors ($13.8"
percentage,5,,"R. Sensor‑type breakdown: EO/IR sensors ($13.8 B, 5 % CAGR); radar sensors including LIDAR ($12 B, 5 %"
percentage,5,,"5 % CAGR); radar sensors including LIDAR ($12 B, 5 % CAGR); inertial sensors ($12 B, 5 % CAGR); pressu"
percentage,5,,"LIDAR ($12 B, 5 % CAGR); inertial sensors ($12 B, 5 % CAGR); pressure sensors ($2.9 B, 8.2 % CAGR); aco"
percentage,8.2,,"sors ($12 B, 5 % CAGR); pressure sensors ($2.9 B, 8.2 % CAGR); acoustic/sonar sensors ($1.8 B, 5 % CAGR);"
percentage,5,,"9 B, 8.2 % CAGR); acoustic/sonar sensors ($1.8 B, 5 % CAGR); chemical/biological sensors ($2.1 B, 5 % C"
percentage,5,,", 5 % CAGR); chemical/biological sensors ($2.1 B, 5 % CAGR). These markets indicate multiple licensing"
percentage,5,,global automotive sensors: $31 B/year market with 5 % CAGR; NPV $4.3 B. North America automotive sensor
percentage,8.2,,erica automotive sensors: $7.1 B/year market with 8.2 % CAGR; NPV $1.4 B. Sensor‑specific markets: LIDAR/
percentage,42,,LIDAR/Radar sensors – $1.2 B/year but a striking 42 % CAGR and $13.8 B NPV; humidity sensors – $7.3 B/y
percentage,15,,"and $13.8 B NPV; humidity sensors – $7.3 B/year, 15 % CAGR, $3.25 B NPV; IR camera sensors – $8.8 B/yea"
percentage,15,,"GR, $3.25 B NPV; IR camera sensors – $8.8 B/year, 15 % CAGR, $3.9 B NPV; GPS/GNSS/IMU navigation sensors"
percentage,8.3,,"PV; GPS/GNSS/IMU navigation sensors – $16 B/year, 8.3 % CAGR, $3.3 B NPV. The high growth rates of LIDAR,"
percentage,11.8,,"emperature, voltage, power): $21.4 B/year market; 11.8 % CAGR; $6.6 B NPV. Fault‑detection sensors: $22 B/"
percentage,8,,"$6.6 B NPV. Fault‑detection sensors: $22 B/year, 8 % CAGR, $4.4 B NPV. Grid asset‑monitoring sensors:"
percentage,19,,"NPV. Grid asset‑monitoring sensors: $3.6 B/year, 19 % CAGR, $2.6 B NPV. Solar‑cell optimisation: The la"
percentage,17,,sation: The largest single market—$95 B/year with 17 % CAGR and $54 B NPV—reflecting global demand for i
percentage,37,,Proposed SMEC‑optimized battery arrays promise 21–37 % improvement in energy‑storage density and up to 4
percentage,46,,% improvement in energy‑storage density and up to 46 % improvement in retrieval time; the market is $25
percentage,9,,in retrieval time; the market is $25 B/year with 9 % CAGR and $5.6 B NPV. Small modular nuclear reacto
percentage,8,,"dular nuclear reactors (SMRs): $10 B/year market, 8 % CAGR, $2 B NPV. Utility‑scale solar and wind turb"
percentage,14.3,,"e solar and wind turbine monitoring: $8.7 B/year, 14.3 % CAGR, $3.6 B NPV. Facilities energy management: L"
percentage,11.6,,"nagement: Lighting‑controls sensors ($3.7 B/year, 11.6 % CAGR) and HVAC‑control sensors ($4.2 B/year, 6 %"
percentage,6,,".6 % CAGR) and HVAC‑control sensors ($4.2 B/year, 6 % CAGR). 4.4 Critical Manufacturing & Mining Strate"
percentage,8.7,,vey lines. Addressable market is $1.5 B/year with 8.7 % CAGR and $742 M NPV. Factory automation/SCADA opt
percentage,6,,tion/SCADA optimisation: $25.5 B/year market with 6 % CAGR; $4.1 B NPV. Quality‑control sensors: $10.5
percentage,6,,"4.1 B NPV. Quality‑control sensors: $10.5 B/year, 6 % CAGR, $1.7 B NPV. 4.5 Water & Wastewater Hydrolog"
percentage,6,,"r Hydrology/water deposit detection: $1.2 B/year, 6 % CAGR. Desalination materials: The paper describes"
percentage,15,,"describes a layered oxygenated graphene membrane (15 % graphene, 80 % oxidised domains) that achieves 70"
percentage,80,,"ered oxygenated graphene membrane (15 % graphene, 80 % oxidised domains) that achieves 70–100 L/cm²/day/"
percentage,99.9,,"low rate than polyamide membranes—while rejecting 99.9 % of salt via six mechanisms (size exclusion, dehyd"
